customer_id,two_factor_enabled,last_login
CUST000001,True,2024-01-25T00:30:50.407125
CUST000002,False,2024-09-22T22:50:31.756795
CUST000003,True,2025-09-11T07:44:22.012497
CUST000004,True,2024-03-02T11:27:02.292794
CUST000005,False,2025-03-04T10:05:37.783412
CUST000006,True,2024-11-12T18:49:05.419103
CUST000007,False,2024-11-17T08:16:56.727588
CUST000008,True,2023-08-31T14:19:39.355221
CUST000009,False,2025-04-06T15:54:20.936177
CUST000010,True,2024-12-26T00:54:42.926756
CUST000011,True,2025-12-10T05:42:57.688758
CUST000012,False,2023-09-17T05:25:36.923012
CUST000013,True,2023-12-16T15:38:05.275522
CUST000014,True,2024-01-23T22:39:43.421708
CUST000015,True,2025-04-22T23:25:21.817924
CUST000016,False,2023-08-31T01:00:11.588118
CUST000017,True,2025-03-22T16:06:45.045609
CUST000018,True,2023-06-07T21:21:15.229917
CUST000019,False,2025-05-07T00:28:43.979048
CUST000020,False,2023-06-25T08:21:59.366663
CUST000021,True,2025-04-29T07:35:59.131920
CUST000022,True,2025-01-29T23:08:04.954161
CUST000023,False,2025-03-13T13:33:13.719407
CUST000024,False,2023-10-01T14:07:37.450784
CUST000025,True,2024-02-14T01:57:56.522128
CUST000026,False,2025-12-02T23:11:25.783360
CUST000027,False,2023-12-24T02:36:44.802420
CUST000028,True,2024-03-10T15:38:34.991281
CUST000029,False,2025-12-16T23:23:42.834096
CUST000030,False,2023-12-11T02:10:23.488627
CUST000031,False,2024-08-28T18:47:16.524973
CUST000032,False,2025-09-25T01:51:43.162192
CUST000033,True,2023-05-06T14:53:34.378266
CUST000034,True,2025-07-08T22:05:32.441120
CUST000035,True,2025-09-14T06:15:50.322843
CUST000036,True,2023-11-10T04:15:04.059736
CUST000037,True,2024-09-17T16:38:50.617502
CUST000038,True,2023-11-29T09:53:46.396539
CUST000039,True,2024-12-30T06:41:13.862368
CUST000040,True,2025-07-14T02:45:48.641774
CUST000041,True,2025-02-03T01:21:36.684620
CUST000042,False,2025-09-11T00:20:33.001764
CUST000043,False,2023-07-17T20:41:29.662492
CUST000044,True,2024-01-09T18:58:56.855440
CUST000045,False,2023-12-07T12:35:20.519198
CUST000046,False,2025-09-13T16:16:09.359584
CUST000047,True,2023-02-07T06:37:03.069303
CUST000048,False,2024-01-07T12:24:45.297519
CUST000049,False,2025-02-28T22:28:22.645519
CUST000050,True,2025-10-08T22:10:46.244401
CUST000051,True,2025-12-16T08:51:20.763569
CUST000052,True,2025-01-26T10:42:02.272654
CUST000053,True,2025-12-06T10:33:43.438988
CUST000054,False,2024-03-16T05:16:43.735854
CUST000055,False,2023-01-24T01:49:48.901834
CUST000056,True,2024-11-07T08:38:12.151335
CUST000057,False,2025-04-01T04:20:06.725450
CUST000058,True,2023-03-08T11:19:08.576723
CUST000059,True,2025-02-24T19:12:15.607521
CUST000060,False,2023-06-10T11:25:10.204211
CUST000061,False,2023-04-19T02:59:52.784072
CUST000062,True,2024-02-10T16:13:52.507161
CUST000063,True,2024-11-09T10:12:32.692988
CUST000064,False,2023-11-15T17:09:37.686154
CUST000065,True,2024-07-22T04:29:28.978883
CUST000066,False,2025-04-04T03:00:57.983150
CUST000067,False,2025-11-01T12:39:49.886092
CUST000068,False,2023-12-13T06:47:34.861599
CUST000069,False,2024-10-13T17:25:07.474142
CUST000070,True,2023-05-28T02:14:47.749063
CUST000071,True,2025-02-05T09:36:30.885354
CUST000072,True,2023-05-24T08:04:11.857802
CUST000073,True,2023-09-29T22:17:54.919182
CUST000074,False,2025-08-23T19:30:56.288631
CUST000075,False,2025-03-25T14:19:20.556014
CUST000076,True,2023-09-28T10:20:08.791282
CUST000077,False,2023-08-12T06:58:54.005162
CUST000078,True,2023-11-11T02:19:05.977885
CUST000079,False,2024-08-06T01:25:41.101482
CUST000080,False,2024-03-14T10:34:32.518564
CUST000081,True,2023-04-30T11:38:55.162266
CUST000082,True,2024-08-20T23:08:45.830523
CUST000083,True,2023-07-16T21:18:47.282326
CUST000084,True,2024-10-04T14:55:25.328540
CUST000085,True,2023-09-21T08:57:22.267303
CUST000086,False,2025-03-15T14:56:17.908011
CUST000087,True,2023-08-28T15:34:55.472482
CUST000088,True,2023-01-27T23:58:11.171516
CUST000089,False,2025-05-06T17:08:23.102622
CUST000090,False,2025-01-31T12:10:37.824026
CUST000091,False,2023-11-20T22:16:43.812388
CUST000092,False,2023-12-10T15:49:45.218277
CUST000093,True,2024-08-27T14:51:19.039784
CUST000094,False,2024-01-17T19:56:06.786584
CUST000095,True,2025-07-14T19:15:57.471756
CUST000096,True,2025-02-07T02:29:25.910091
CUST000097,True,2024-05-25T13:06:35.615841
CUST000098,True,2025-11-22T22:23:30.688674
CUST000099,False,2025-05-05T04:46:22.048689
CUST000100,False,2024-12-24T11:09:23.187027
CUST000101,True,2025-03-02T18:01:10.677543
CUST000102,False,2024-09-13T13:34:38.432038
CUST000103,True,2023-12-05T03:22:10.487499
CUST000104,True,2024-03-15T14:31:41.802710
CUST000105,True,2024-04-04T01:36:17.482595
CUST000106,False,2025-06-02T15:39:27.923303
CUST000107,True,2024-04-24T21:47:16.116235
CUST000108,False,2024-06-28T10:13:26.304147
CUST000109,False,2025-04-27T05:44:05.446599
CUST000110,True,2023-05-29T08:18:02.061346
CUST000111,True,2023-03-05T23:12:46.849571
CUST000112,True,2025-12-17T14:40:32.902831
CUST000113,False,2025-10-03T01:26:10.670891
CUST000114,False,2023-03-07T10:30:13.502845
CUST000115,False,2024-02-23T07:28:16.777234
CUST000116,False,2023-08-14T22:56:56.198551
CUST000117,True,2023-07-10T11:44:26.102885
CUST000118,False,2024-02-08T06:36:59.317122
CUST000119,False,2023-07-09T21:21:43.990897
CUST000120,False,2024-03-23T08:17:22.769762
CUST000121,True,2023-09-26T23:35:28.065704
CUST000122,False,2025-02-19T14:45:23.448343
CUST000123,False,2023-01-01T14:54:01.001456
CUST000124,False,2025-12-07T07:15:52.239884
CUST000125,True,2025-10-14T07:23:31.741606
CUST000126,True,2025-04-26T22:37:03.477282
CUST000127,False,2024-08-20T22:34:42.033918
CUST000128,True,2023-06-10T22:49:58.637232
CUST000129,True,2023-01-13T19:25:08.126585
CUST000130,True,2023-06-02T23:38:33.489267
CUST000131,False,2024-12-10T06:40:28.350546
CUST000132,True,2023-08-01T18:57:50.252904
CUST000133,False,2023-03-22T11:37:14.779616
CUST000134,False,2024-07-09T14:27:29.280813
CUST000135,True,2025-05-21T22:19:55.401288
CUST000136,False,2023-04-22T07:32:03.517696
CUST000137,True,2024-08-13T06:52:42.675787
CUST000138,True,2024-12-27T14:37:21.221912
CUST000139,True,2025-04-26T10:31:30.579730
CUST000140,True,2025-07-10T12:37:34.600489
CUST000141,True,2025-11-17T14:00:47.806461
CUST000142,False,2025-09-24T04:14:10.684679
CUST000143,True,2025-04-30T10:19:45.533479
CUST000144,True,2025-09-28T01:20:53.779128
CUST000145,False,2023-08-25T19:55:57.481973
CUST000146,True,2024-10-06T18:45:33.600353
CUST000147,True,2025-11-03T04:01:11.832478
CUST000148,True,2024-05-03T11:54:42.747069
CUST000149,True,2023-10-06T13:27:21.447899
CUST000150,True,2025-06-14T15:35:31.673827
CUST000151,False,2024-07-12T23:51:17.495310
CUST000152,True,2025-12-22T02:35:33.084118
CUST000153,True,2024-03-06T20:29:05.231427
CUST000154,False,2024-08-21T16:12:15.097538
CUST000155,True,2024-05-22T19:21:00.232800
CUST000156,False,2023-09-29T11:54:08.047067
CUST000157,True,2024-02-09T22:12:39.113177
CUST000158,True,2023-05-25T14:27:17.427759
CUST000159,False,2024-01-14T23:40:07.439296
CUST000160,False,2024-03-17T20:51:53.524566
CUST000161,False,2024-10-11T10:17:46.910371
CUST000162,False,2025-04-14T01:02:53.163502
CUST000163,False,2025-09-09T10:03:30.184283
CUST000164,False,2025-10-18T02:57:05.448035
CUST000165,True,2023-09-02T05:22:03.257023
CUST000166,False,2023-07-07T03:40:29.711663
CUST000167,False,2024-01-11T23:34:16.723142
CUST000168,True,2024-11-21T23:17:40.901887
CUST000169,False,2023-08-03T22:44:39.913833
CUST000170,False,2023-03-29T08:47:08.870640
CUST000171,False,2024-03-16T08:01:38.521082
CUST000172,True,2024-02-11T11:57:41.649915
CUST000173,True,2024-01-22T16:03:09.274354
CUST000174,True,2024-07-06T01:34:45.213470
CUST000175,True,2024-04-17T23:26:50.023794
CUST000176,False,2024-04-21T13:44:40.344654
CUST000177,True,2024-04-04T02:34:37.027247
CUST000178,True,2023-09-21T13:38:41.805158
CUST000179,True,2024-07-05T05:04:07.084595
CUST000180,False,2025-01-16T14:00:19.009940
CUST000181,False,2023-01-16T05:39:51.662313
CUST000182,True,2023-05-15T01:57:20.577431
CUST000183,True,2023-09-18T08:24:21.464975
CUST000184,True,2024-12-08T12:00:33.975383
CUST000185,False,2025-07-03T13:49:11.617106
CUST000186,True,2025-04-02T19:34:37.354195
CUST000187,True,2023-03-11T13:01:37.485984
CUST000188,False,2023-07-10T08:51:47.874826
CUST000189,True,2023-02-25T07:04:48.084928
CUST000190,False,2024-04-21T01:59:07.019064
CUST000191,False,2023-10-13T07:49:58.913323
CUST000192,False,2025-01-15T10:05:44.910081
CUST000193,False,2023-01-18T13:24:40.066453
CUST000194,True,2024-05-28T05:37:51.619580
CUST000195,False,2024-04-18T13:59:38.398703
CUST000196,True,2024-08-20T21:49:54.557134
CUST000197,True,2025-01-11T03:06:27.745475
CUST000198,False,2024-08-16T15:46:35.332779
CUST000199,True,2025-04-18T16:57:35.645036
CUST000200,False,2023-08-27T15:10:44.237234
CUST000201,True,2024-04-10T02:29:32.853755
CUST000202,True,2023-01-01T20:51:23.102224
CUST000203,False,2023-07-31T16:37:30.200445
CUST000204,False,2023-06-11T02:10:54.680330
CUST000205,True,2023-07-18T18:23:59.875046
CUST000206,False,2025-05-13T12:52:53.678259
CUST000207,False,2023-01-06T13:51:39.233236
CUST000208,True,2024-10-10T15:07:42.325408
CUST000209,False,2023-01-09T07:27:48.114828
CUST000210,False,2023-09-27T06:25:20.276172
CUST000211,False,2023-11-12T08:05:24.010484
CUST000212,False,2025-09-06T13:28:47.597600
CUST000213,True,2024-06-05T18:10:03.740625
CUST000214,False,2023-12-16T08:21:21.470927
CUST000215,False,2024-01-02T08:37:45.359828
CUST000216,True,2025-09-24T22:33:21.246142
CUST000217,False,2023-04-11T18:19:48.504454
CUST000218,True,2023-11-17T08:21:41.189203
CUST000219,False,2024-04-28T12:17:11.601124
CUST000220,True,2023-04-16T09:40:02.227740
CUST000221,False,2023-08-28T03:52:35.338623
CUST000222,False,2024-06-23T07:19:14.917571
CUST000223,False,2024-01-10T05:05:40.827562
CUST000224,False,2023-02-01T12:24:48.398541
CUST000225,True,2023-09-11T17:24:45.268070
CUST000226,False,2025-01-17T23:37:16.070238
CUST000227,False,2024-02-29T02:00:51.058100
CUST000228,False,2025-04-06T01:08:07.942709
CUST000229,True,2025-01-04T23:31:18.657646
CUST000230,True,2023-09-02T16:27:01.402020
